model,het,method,data_seed,run_seed,heldout_loss,base_loss,delta_loss,final_train_loss,comm_mb_total,upload_mb_total,active_clients,run_dir,gpu_name,wall_clock_s
tl,a01,flora,2010,7002,1.6961727074168826,2.1206655930514597,-0.4244928856345771,1.619943651410788,2578.125,1289.0625,10,results/raw/vp_tl_flora_a01/flora/seed_2010_run7002/prod_v1/20260917_210504,NVIDIA GeForce RTX 4090,1756.1688263139222
l3,iid,fedit,2001,7001,1.78949918379308,2.168945952316856,-0.3794467685237759,1.7157527230978011,2625.0,1312.5,10,results/raw/vp_l3_fedit_iid/fedit/seed_2001_run7001/prod_v1/20260917_221248,NVIDIA GeForce RTX 4090,3171.670746537042
l3,iid,ffa_lora,2001,7001,1.835603964383334,2.168945952316856,-0.333341987933522,1.8266312936147053,1102.5,577.5,10,results/raw/vp_l3_ffa_lora_iid/ffa_lora/seed_2001_run7001/prod_v1/20260917_230944,NVIDIA GeForce RTX 4090,3201.193599262042
l3,iid,flora,2001,7001,1.8031979221971248,2.168945952316856,-0.3657480301197311,1.7346194608211518,2625.0,1312.5,10,results/raw/vp_l3_flora_iid/flora/seed_2001_run7001/prod_v1/20260918_000708,NVIDIA GeForce RTX 4090,3778.848125166027
l3,iid,fedit,2001,7002,1.7904595129170249,2.168945952316856,-0.37848643939983106,1.7151273222168286,2625.0,1312.5,10,results/raw/vp_l3_fedit_iid/fedit/seed_2001_run7002/prod_v1/20260917_221101,NVIDIA GeForce RTX 4090,2406.572873556055
l3,iid,ffa_lora,2001,7002,1.8357755478078537,2.168945952316856,-0.33317040450900226,1.82416925740242,1102.5,577.5,10,results/raw/vp_l3_ffa_lora_iid/ffa_lora/seed_2001_run7002/prod_v1/20260917_225543,NVIDIA GeForce RTX 4090,2348.5326097179204
l3,iid,flora,2001,7002,1.804655258681368,2.168945952316856,-0.36429069363548794,1.7346716401576994,2625.0,1312.5,10,results/raw/vp_l3_flora_iid/flora/seed_2001_run7002/prod_v1/20260917_233924,NVIDIA GeForce RTX 4090,3932.166409663041
l3,iid,fedit,2001,7003,1.7898843462659075,2.168945952316856,-0.3790616060509484,1.7088690571586291,2625.0,1312.5,10,results/raw/vp_l3_fedit_iid/fedit/seed_2001_run7003/prod_v1/20260918_014400,NVIDIA GeForce RTX 4090,2431.2765233470127
l3,iid,ffa_lora,2001,7003,1.8359145056426025,2.168945952316856,-0.33303144667425344,1.8190796270370484,1102.5,577.5,10,results/raw/vp_l3_ffa_lora_iid/ffa_lora/seed_2001_run7003/prod_v1/20260918_022543,NVIDIA GeForce RTX 4090,2377.2745064911433
l3,iid,flora,2001,7003,1.8045553555784888,2.168945952316856,-0.36439059673836716,1.7295277725060783,2625.0,1312.5,10,results/raw/vp_l3_flora_iid/flora/seed_2001_run7003/prod_v1/20260918_030739,NVIDIA GeForce RTX 4090,3048.747443033848
l3,a01,fedit,2001,7001,1.803344909931059,2.168945952316856,-0.36560104238579694,1.6627851475585493,2625.0,1312.5,10,results/raw/vp_l3_fedit_a01/fedit/seed_2001_run7001/prod_v1/20260918_011420,NVIDIA GeForce RTX 4090,3150.750168120023
l3,a01,ffa_lora,2001,7001,1.8305115450257157,2.168945952316856,-0.33843440729114027,1.8002473646930504,1102.5,577.5,10,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2001_run7001/prod_v1/20260918_020730,NVIDIA GeForce RTX 4090,3104.844809315051
l3,a01,flora,2001,7001,1.804421390398499,2.168945952316856,-0.364524561918357,1.6953347184984178,2625.0,1312.5,10,results/raw/vp_l3_flora_a01/flora/seed_2001_run7001/prod_v1/20260918_025954,NVIDIA GeForce RTX 4090,3739.1177656160435
l3,a01,fedit,2001,7002,1.8033440238355454,2.168945952316856,-0.36560192848131057,1.6576214551369879,2625.0,1312.5,10,results/raw/vp_l3_fedit_a01/fedit/seed_2001_run7002/prod_v1/20260918_004930,NVIDIA GeForce RTX 4090,2431.9389687010553
l3,a01,ffa_lora,2001,7002,1.8297716316982808,2.168945952316856,-0.3391743206185751,1.792516377914539,1102.5,577.5,10,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2001_run7002/prod_v1/20260918_013045,NVIDIA GeForce RTX 4090,2353.0813644009177
l3,a01,flora,2001,7002,1.8036576920257026,2.168945952316856,-0.36528826029115335,1.6872262613704265,2625.0,1312.5,10,results/raw/vp_l3_flora_a01/flora/seed_2001_run7002/prod_v1/20260918_021040,NVIDIA GeForce RTX 4090,3964.4279485299485
l3,a01,fedit,2002,7001,1.8032999480868486,2.168945952316856,-0.36564600423000737,1.7011888359508263,2625.0,1312.5,10,results/raw/vp_l3_fedit_a01/fedit/seed_2002_run7001/prod_v1/20260918_043949,NVIDIA GeForce RTX 4090,2421.6483843605965
l3,a01,ffa_lora,2002,7001,1.8368653806340633,2.168945952316856,-0.3320805716827926,1.8142945928959793,1102.5,577.5,10,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2002_run7001/prod_v1/20260918_052145,NVIDIA GeForce RTX 4090,2441.285696174018
l3,a01,flora,2002,7001,1.8055530545454763,2.168945952316856,-0.3633928977713796,1.7258471012600733,2625.0,1312.5,10,results/raw/vp_l3_flora_a01/flora/seed_2002_run7001/prod_v1/20260918_060421,NVIDIA GeForce RTX 4090,4498.658634191845
l3,a01,fedit,2002,7002,1.8035120006647478,2.168945952316856,-0.3654339516521081,1.7130647733319218,2625.0,1312.5,10,results/raw/vp_l3_fedit_a01/fedit/seed_2002_run7002/prod_v1/20260918_040251,NVIDIA GeForce RTX 4090,3153.766030772007
l3,a01,ffa_lora,2002,7002,1.8368491697582912,2.168945952316856,-0.3320967825585648,1.8249754424822977,1102.5,577.5,10,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2002_run7002/prod_v1/20260918_045626,NVIDIA GeForce RTX 4090,3072.0616254239576
l3,a01,flora,2002,7002,1.8050017398511582,2.168945952316856,-0.36394421246569775,1.7364547858808135,2625.0,1312.5,10,results/raw/vp_l3_flora_a01/flora/seed_2002_run7002/prod_v1/20260918_054816,NVIDIA GeForce RTX 4090,3724.8840788960224
l3,a01,fedit,2003,7001,1.8126456931367925,2.168945952316856,-0.35630025918006347,1.6001728259309325,2625.0,1312.5,10,results/raw/vp_l3_fedit_a01/fedit/seed_2003_run7001/prod_v1/20260918_031728,NVIDIA GeForce RTX 4090,2442.4338616749737
l3,a01,ffa_lora,2003,7001,1.8390526009475243,2.168945952316856,-0.3298933513693316,1.7376840342578408,1102.5,577.5,10,results/raw/vp_l3_ffa_lora_a01/ffa_lora/seed_2003_run7001/prod_v1/20260918_035854,NVIDIA GeForce RTX 4090,2379.2043231939897
l3,a01,flora,2003,7001,1.8064155744066603,2.168945952316856,-0.3625303779101956,1.6205237095480982,2625.0,1312.5,10,results/raw/vp_l3_flora_a01/flora/seed_2003_run7001/prod_v1/20260918_043918,NVIDIA GeForce RTX 4090,3966.0474232289707
