row_kind,label,model,het,method,data_seed,run_seed,heldout_quarantined,heldout_retrained,delta_retrained_minus_quarantined,torch_quarantined,sd_pair_ref,n,mean_delta,sd_delta,min_delta,max_delta,mean_abs_delta
pair,tl/a05,tl,a05,flora,2002,7001,1.6946050447817986,1.694605828706552,7.839247533336646e-07,2.11.0+cu128,0.00108,1,7.839247533336646e-07,,7.839247533336646e-07,7.839247533336646e-07,7.839247533336646e-07
pair,tl/a05,tl,a05,flora,2002,7002,1.6944568078461726,1.6944567282602132,-7.958595937829216e-08,2.14.0+cu130,0.00108,1,-7.958595937829216e-08,,-7.958595937829216e-08,-7.958595937829216e-08,7.958595937829216e-08
pair,tl/a05,tl,a05,flora,2003,7002,1.6940376044249381,1.694037424880663,-1.795442752250409e-07,2.11.0+cu128,0.00108,1,-1.795442752250409e-07,,-1.795442752250409e-07,-1.795442752250409e-07,1.795442752250409e-07
pair,tl/a05,tl,a05,flora,2004,7001,1.6928794051642408,1.6928791264691812,-2.786950596966875e-07,2.14.0+cu130,0.00108,1,-2.786950596966875e-07,,-2.786950596966875e-07,-2.786950596966875e-07,2.786950596966875e-07
pair,tl/a05,tl,a05,flora,2005,7001,1.6938921422141207,1.69389188572448,-2.564896406376249e-07,2.11.0+cu128,0.00108,1,-2.564896406376249e-07,,-2.564896406376249e-07,-2.564896406376249e-07,2.564896406376249e-07
pair,tl/a05,tl,a05,flora,2005,7002,1.6939868865215617,1.6939869364035953,4.988203361477872e-08,2.14.0+cu130,0.00108,1,4.988203361477872e-08,,4.988203361477872e-08,4.988203361477872e-08,4.988203361477872e-08
pair,tl/a05,tl,a05,flora,2006,7002,1.694018584027867,1.6940183158858524,-2.6814201459224307e-07,2.11.0+cu128,0.00108,1,-2.6814201459224307e-07,,-2.6814201459224307e-07,-2.6814201459224307e-07,2.6814201459224307e-07
pair,tl/a05,tl,a05,flora,2007,7001,1.6942989263865293,1.6942989121486978,-1.423783158038816e-08,2.14.0+cu130,0.00108,1,-1.423783158038816e-08,,-1.423783158038816e-08,-1.423783158038816e-08,1.423783158038816e-08
pair,tl/a05,tl,a05,flora,2008,7001,1.6943129233228345,1.694311717224527,-1.2060983074491105e-06,2.11.0+cu128,0.00108,1,-1.2060983074491105e-06,,-1.2060983074491105e-06,-1.2060983074491105e-06,1.2060983074491105e-06
pair,tl/a05,tl,a05,flora,2008,7002,1.694526036161652,1.6945255310303553,-5.051312967907506e-07,2.14.0+cu130,0.00108,1,-5.051312967907506e-07,,-5.051312967907506e-07,-5.051312967907506e-07,5.051312967907506e-07
